vendor_pn,brand,oem_display,description,broom_type,broom_type_label,size_in,filament,pattern,compatible_models,model_codes,phase,publish_status,slug,qty
SY11-5004,Tennant,11-5004,"Main Broom 50"" 8 D.R. Nylon",main_broom,Main Broom,"50""",Nylon,double_row,92|95,003,1,pending,tennant-11-5004-main-broom-50-nylon,1
SY11-5005,Tennant,11-5005,"Main Broom 50"" 8 D.R. Stiff Poly",main_broom,Main Broom,"50""",Stiff Poly,double_row,92|95,003,1,pending,tennant-11-5005-main-broom-50-stiff-poly,1
SY11-5006,Tennant,11-5006,"Main Broom 50"" 5 D.R. Nylon Patrol",main_broom,Main Broom,"50""",Nylon Patrol,double_row,92|95,003,1,pending,tennant-11-5006-main-broom-50-nylon-patrol,1
SY11-5007,Tennant,11-5007,"Main Broom 50"" 8 D.R. Stiff Poly",main_broom,Main Broom,"50""",Stiff Poly,double_row,92|95,003,1,pending,tennant-11-5007-main-broom-50-stiff-poly,1
SY11-5008,Tennant,11-5008,"Main Scrub 50"" 24 S.R. .066/36 Grit",cylindrical_scrub,Cylindrical Scrub,"50""",,single_row,550|550E|1550,032,2,pending,tennant-11-5008-cylindrical-scrub-50,2
SY11-5010,Tennant,11-5010,"Main Scrub 50"" 24 S.R. Soft Nylon",cylindrical_scrub,Cylindrical Scrub,"50""",Soft Nylon,single_row,550|550E|1550,032,2,pending,tennant-11-5010-cylindrical-scrub-50-soft-nylon,2
SY11-5011,Tennant,11-5011,"Main Scrub 50"" 24 S.R. Poly",cylindrical_scrub,Cylindrical Scrub,"50""",Poly,single_row,550|550E|1550,032,2,pending,tennant-11-5011-cylindrical-scrub-50-poly,2
SY12-4301,Tennant,12-4301,"Main Scrub 43"" 24 S.R. /6.D.R. .060/36 Grit Set",cylindrical_scrub,Cylindrical Scrub,"43""",,double_row,530E,022,2,pending,tennant-12-4301-cylindrical-scrub-43,1
SY12-4302,Tennant,12-4302,"Main Scrub 43"" 24 S.R. /6 D.R. Poly Set",cylindrical_scrub,Cylindrical Scrub,"43""",Poly,double_row,530E,022,2,pending,tennant-12-4302-cylindrical-scrub-43-poly,1
SY12-4303,Tennant,12-4303,"Main Scrub 43"" 24 S.R. /6 D.R. Soft Nylon Set",cylindrical_scrub,Cylindrical Scrub,"43""",Soft Nylon,double_row,530E,022,2,pending,tennant-12-4303-cylindrical-scrub-43-soft-nylon,1
SY21-0601,Tennant,21-0601,"Side Broom 13"" 2 S.R. Poly",side_broom,Side Broom,"13""",Poly,single_row,28B|37B|140|140E|510E,006|044,1,pending,tennant-21-0601-side-broom-13-poly,1
SY21-0701,Tennant,21-0701,"Side Broom 7"" 2 S.R. Poly",side_broom,Side Broom,"7""",Poly,single_row,3460|6080|6100,009|036,1,pending,tennant-21-0701-side-broom-7-poly,1
SY21-0803,Tennant,21-0803,"Side Broom 8"" 2 S.R. Poly",side_broom,Side Broom,"8""",Poly,single_row,40|42|186|210|215|900C|1186|5700|7200C|T15,001|004|046,1,pending,tennant-21-0803-side-broom-8-poly,1
SY21-0804,Tennant,21-0804,"Side Broom 8"" 2 S.R. Nylon",side_broom,Side Broom,"8""",Nylon,single_row,235,018,1,pending,tennant-21-0804-side-broom-8-nylon,1
SY21-0810,Tennant,21-0810,"Side Broom 8"" 2 S.R. Nylon",side_broom,Side Broom,"8""",Nylon,single_row,40|42|186|210|215|1186,001|004,1,pending,tennant-21-0810-side-broom-8-nylon,1
SY21-111032,Tennant,21-111032,"Rotary Brush 11"" .070/46 Grit",rotary_brush,Rotary Brush,"11""",.070/46 Grit,,5400-25D,019,2,pending,tennant-21-111032-rotary-brush-11-070-46-grit,2
SY21-111732,Tennant,21-111732,"Rotary Brush 11"" .028 Poly",rotary_brush,Rotary Brush,"11""",Poly,,5400-25D,019,2,pending,tennant-21-111732-rotary-brush-11-poly,2
SY21-1121,Tennant,21-1121,"Rotary Brush 12"" .070/46 Grit",rotary_brush,Rotary Brush,"12""",.070/46 Grit,,T5,045,2,pending,tennant-21-1121-rotary-brush-12-070-46-grit,1
SY21-1122,Tennant,21-1122,"Rotary Brush 12"" .028 Poly",rotary_brush,Rotary Brush,"12""",Poly,,T5,045,2,pending,tennant-21-1122-rotary-brush-12-poly,1
SY21-1123,Tennant,21-1123,"Rotary Brush 11"" .028 Nylon",rotary_brush,Rotary Brush,"11""",Nylon,,5400-25D,019,2,pending,tennant-21-1123-rotary-brush-11-nylon,2
SY21-112932,Tennant,21-112932,"Pad Driver 11""",pad_driver,Pad Driver,"11""",,,5400-25D,019,2,pending,tennant-21-112932-pad-driver-11,2
SY21-1210F,Tennant,21-1210F,"Rotary Brush 12"" .070/46 Grit (No Clutch Plate)",rotary_brush,Rotary Brush,"12""",.070/46 Grit,,426,025,2,pending,tennant-21-1210f-rotary-brush-12-070-46-grit,2
SY21-1217F,Tennant,21-1217F,"Rotary Brush 12"" .028 Poly (No Clutch Plate)",rotary_brush,Rotary Brush,"12""",Poly,,426,025,2,pending,tennant-21-1217f-rotary-brush-12-poly,2
SY21-1221F,Tennant,21-1221F,"Rotary Brush 12"" .028 Nylon (No Clutch Plate)",rotary_brush,Rotary Brush,"12""",Nylon,,426,025,2,pending,tennant-21-1221f-rotary-brush-12-nylon,2
SY21-1223F,Tennant,21-1223F,"Rotary Brush 12"" Bassine (No Clutch Plate)",rotary_brush,Rotary Brush,"12""",Bassine,,426,025,2,pending,tennant-21-1223f-rotary-brush-12-bassine,2
SY21-1229F,Tennant,21-1229F,"Pad Driver 12""",pad_driver,Pad Driver,"12""",,,426,025,2,pending,tennant-21-1229f-pad-driver-12,2
SY21-1250,Tennant,21-1250,"Rotary Brush 12"" Bassine",rotary_brush,Rotary Brush,"12""",Bassine,,465|1654,027,2,pending,tennant-21-1250-rotary-brush-12-bassine,2
SY21-1251,Tennant,21-1251,"Rotary Brush 12"" .070/46 Grit",rotary_brush,Rotary Brush,"12""",.070/46 Grit,,530E,022,2,pending,tennant-21-1251-rotary-brush-12-070-46-grit,2
SY21-1252,Tennant,21-1252,"Rotary Brush 12"" Wire",rotary_brush,Rotary Brush,"12""",Wire,,465|1654,027,2,pending,tennant-21-1252-rotary-brush-12-wire,2
SY21-1254,Tennant,21-1254,"Rotary Brush 12"" .028 Nylon",rotary_brush,Rotary Brush,"12""",Nylon,,530E,022,2,pending,tennant-21-1254-rotary-brush-12-nylon,2
SY21-1255,Tennant,21-1255,"Pad Driver 12""",pad_driver,Pad Driver,"12""",,,465|1654|T5,027|045,2,pending,tennant-21-1255-pad-driver-12,2
SY21-1256,Tennant,21-1256,"Rotary Brush 12"" .028 Poly",rotary_brush,Rotary Brush,"12""",Poly,,465|1654,027,2,pending,tennant-21-1256-rotary-brush-12-poly,2
SY21-1257,Tennant,21-1257,"Rotary Brush 12"" .070/46 Grit",rotary_brush,Rotary Brush,"12""",.070/46 Grit,,465|528|1654|5400-26D,021|027|031,2,pending,tennant-21-1257-rotary-brush-12-070-46-grit,2
SY21-1259,Tennant,21-1259,"Rotary Brush 12"" .028 Nylon",rotary_brush,Rotary Brush,"12""",Nylon,,465|528|1654|5400-26D|T5,021|027|031|045,2,pending,tennant-21-1259-rotary-brush-12-nylon,2
SY21-1302,Tennant,21-1302,"Side Broom 13"" 3 S.R. Nylon",side_broom,Side Broom,"13""",Nylon,single_row,36|75|220|240|240EH|250|255|255Ii|260|265|275|275Ii|275Se|280|285|360|365|SB/SCV 32 & 3200,005|012|013|023|024|032|033,1,pending,tennant-21-1302-side-broom-13-nylon,1
SY21-1303,Tennant,21-1303,"Side Broom 13"" 3 S.R. Poly",side_broom,Side Broom,"13""",Poly,single_row,36|75|220|240|240EH|250|255|255Ii|260|265|275|275Ii|275Se|280|285|360|365|SB/SCV 32 & 3200,005|012|013|023|024|032|033,1,pending,tennant-21-1303-side-broom-13-poly,1
